;;;TRATO POR CURRAL;;;;;;;;;;;
Id. Carregamento;Curral;Lote;;Trato;Peso Abastecido (kg);Dieta;;Data;Hora;Vagão;Tratador;Carregamento;%MS Dieta Real;%Ndt Dieta Real
166015520000000;73;73-G1-25;;1;795,0000;TERMINACION SORGO-19/08/2025;;01/09/2025;06:47:22;BAHMAN;AGUSTIN LOPEZ;1 - TERMINACION SORGO-19/08/2025 - BAHMAN - 2025-09-01 06:38;45,10%;78,38%
166015520000000;ENF01;ENF01;;1;220,0000;TERMINACION SORGO-19/08/2025;;01/09/2025;07:00:08;BAHMAN;AGUSTIN LOPEZ;1 - TERMINACION SORGO-19/08/2025 - BAHMAN - 2025-09-01 06:38;45,10%;78,38%
166017320000000;19;19-G3-25;;2;405,0000;ADAPTACION SORGO 19/08/2025;;01/09/2025;12:38:30;BAHMAN;AGUSTIN LOPEZ;8 - ADAPTACION SORGO 19/08/2025 - BAHMAN - 2025-09-01 12:19;37,98%;72,50%
166017320000000;24;24-G2-25;;2;510,0000;ADAPTACION SORGO 19/08/2025;;01/09/2025;12:39:34;BAHMAN;AGUSTIN LOPEZ;8 - ADAPTACION SORGO 19/08/2025 - BAHMAN - 2025-09-01 12:19;37,98%;72,50%
166017320000000;25;25-G2-25;;2;390,0000;ADAPTACION SORGO 19/08/2025;;01/09/2025;12:39:54;BAHMAN;AGUSTIN LOPEZ;8 - ADAPTACION SORGO 19/08/2025 - BAHMAN - 2025-09-01 12:19;37,98%;72,50%
166017320000000;27;27-G2-25;;2;370,0000;ADAPTACION SORGO 19/08/2025;;01/09/2025;12:40:27;BAHMAN;AGUSTIN LOPEZ;8 - ADAPTACION SORGO 19/08/2025 - BAHMAN - 2025-09-01 12:19;37,98%;72,50%
166017320000000;28;28-G2-25;;2;325,0000;ADAPTACION SORGO 19/08/2025;;01/09/2025;12:40:49;BAHMAN;AGUSTIN LOPEZ;8 - ADAPTACION SORGO 19/08/2025 - BAHMAN - 2025-09-01 12:19;37,98%;72,50%
166017320000000;29;29-G2-25;;2;300,0000;ADAPTACION SORGO 19/08/2025;;01/09/2025;12:41:36;BAHMAN;AGUSTIN LOPEZ;8 - ADAPTACION SORGO 19/08/2025 - BAHMAN - 2025-09-01 12:19;37,98%;72,50%
166017320000000;36;36-G3-25;;2;525,0000;ADAPTACION SORGO 19/08/2025;;01/09/2025;12:32:16;BAHMAN;AGUSTIN LOPEZ;8 - ADAPTACION SORGO 19/08/2025 - BAHMAN - 2025-09-01 12:19;37,98%;72,50%
166017320000000;50;50-G2-25;;2;345,0000;ADAPTACION SORGO 19/08/2025;;01/09/2025;12:30:13;BAHMAN;AGUSTIN LOPEZ;8 - ADAPTACION SORGO 19/08/2025 - BAHMAN - 2025-09-01 12:19;37,98%;72,50%
