;;ITENS DE TRATO;;;;;;;;;;
Data de Inclusão;Id. Carregamento;;Hora;Dieta;;Carregamento;Ingrediente;Quantidade MN (kg);Motorista;Vagão;%MS Dieta Real;%NDT Dieta Real
13/09/2025;166055520000000;;15:18:10;CRECIMIENTO SORGO.19/08/2025;;10;Sorgo, grão úmido silagem;1204,000000000;RUBEN VIERA;BAHMAN;38,71%;77,08%
13/09/2025;166055520000000;;15:19:57;CRECIMIENTO SORGO.19/08/2025;;10;MAIZ HUMIDO;1410,000000000;RUBEN VIERA;BAHMAN;38,71%;77,08%
13/09/2025;166055520000000;;15:22:28;CRECIMIENTO SORGO.19/08/2025;;10;FARELO DE SOJA;289,180266000;RUBEN VIERA;BAHMAN;38,71%;77,08%
13/09/2025;166055520000000;;15:22:28;CRECIMIENTO SORGO.19/08/2025;;10;UREIA PECUARIA;36,511540000;RUBEN VIERA;BAHMAN;38,71%;77,08%
13/09/2025;166055520000000;;15:22:28;CRECIMIENTO SORGO.19/08/2025;;10;CALCAREO;26,267614000;RUBEN VIERA;BAHMAN;38,71%;77,08%
13/09/2025;166055520000000;;15:22:28;CRECIMIENTO SORGO.19/08/2025;;10;NUCLEO CONFINAMIENTO;28,891419000;RUBEN VIERA;BAHMAN;38,71%;77,08%
13/09/2025;166055250000000;;14:32:57;CRECIMIENTO SORGO.19/08/2025;;9;MAIZ HUMIDO;1521,000000000;RUBEN VIERA;BAHMAN;38,71%;77,08%
13/09/2025;166055250000000;;14:35:49;CRECIMIENTO SORGO.19/08/2025;;9;FARELO DE SOJA;313,008000000;RUBEN VIERA;BAHMAN;38,71%;77,08%
13/09/2025;166055250000000;;14:35:49;CRECIMIENTO SORGO.19/08/2025;;9;UREIA PECUARIA;39,520000000;RUBEN VIERA;BAHMAN;38,71%;77,08%
13/09/2025;166055250000000;;14:35:49;CRECIMIENTO SORGO.19/08/2025;;9;CALCAREO;28,432000000;RUBEN VIERA;BAHMAN;38,71%;77,08%
13/09/2025;166055250000000;;14:35:49;CRECIMIENTO SORGO.19/08/2025;;9;NUCLEO CONFINAMIENTO;31,272000000;RUBEN VIERA;BAHMAN;38,71%;77,08%
13/09/2025;166055250000000;;14:44:14;CRECIMIENTO SORGO.19/08/2025;;9;Sorgo, silagem;4763,000000000;RUBEN VIERA;BAHMAN;38,71%;77,08%
13/09/2025;166055150000000;;13:57:41;RECRIA FEMEA 08/08/2025;;8;FARELO DE SOJA;117,355500000;RUBEN VIERA;BAHMAN;34,99%;63,86%
13/09/2025;166055150000000;;13:57:41;RECRIA FEMEA 08/08/2025;;8;UREIA PECUARIA;19,836000000;RUBEN VIERA;BAHMAN;34,99%;63,86%
13/09/2025;166055150000000;;13:57:41;RECRIA FEMEA 08/08/2025;;8;NUCLEO CONFINAMIENTO;14,877000000;RUBEN VIERA;BAHMAN;34,99%;63,86%
13/09/2025;166055150000000;;13:57:42;RECRIA FEMEA 08/08/2025;;8;CALCAREO;13,221000000;RUBEN VIERA;BAHMAN;34,99%;63,86%
13/09/2025;166055150000000;;14:05:20;RECRIA FEMEA 08/08/2025;;8;CAPIASU;3178,000000000;RUBEN VIERA;BAHMAN;34,99%;63,86%
13/09/2025;166055250000000;;14:29:25;CRECIMIENTO SORGO.19/08/2025;;9;Sorgo, grão úmido silagem;1308,000000000;RUBEN VIERA;BAHMAN;38,71%;77,08%
13/09/2025;166054910000000;;13:19:20;CRECIMIENTO SORGO.19/08/2025;;7;FARELO DE SOJA;316,806640777;RUBEN VIERA;BAHMAN;38,72%;77,03%
13/09/2025;166054910000000;;13:19:20;CRECIMIENTO SORGO.19/08/2025;;7;UREIA PECUARIA;39,999611650;RUBEN VIERA;BAHMAN;38,72%;77,03%
13/09/2025;166054910000000;;13:19:20;CRECIMIENTO SORGO.19/08/2025;;7;CALCAREO;28,777048544;RUBEN VIERA;BAHMAN;38,72%;77,03%
13/09/2025;166054910000000;;13:19:20;CRECIMIENTO SORGO.19/08/2025;;7;NUCLEO CONFINAMIENTO;31,651514563;RUBEN VIERA;BAHMAN;38,72%;77,03%
13/09/2025;166054910000000;;13:27:47;CRECIMIENTO SORGO.19/08/2025;;7;Sorgo, silagem;4763,000000000;RUBEN VIERA;BAHMAN;38,72%;77,03%
13/09/2025;166055150000000;;13:55:15;RECRIA FEMEA 08/08/2025;;8;MAIZ HUMIDO;1167,000000000;RUBEN VIERA;BAHMAN;34,99%;63,86%
13/09/2025;166054660000000;;11:24:39;TERMINACION SORGO-19/08/2025;;6;UREIA PECUARIA;42,072000000;RUBEN VIERA;BAHMAN;41,22%;78,60%
13/09/2025;166054660000000;;11:24:39;TERMINACION SORGO-19/08/2025;;6;NUCLEO CONFINAMIENTO;33,288000000;RUBEN VIERA;BAHMAN;41,22%;78,60%
13/09/2025;166054660000000;;11:24:40;TERMINACION SORGO-19/08/2025;;6;CALCAREO;30,264000000;RUBEN VIERA;BAHMAN;41,22%;78,60%
